url_sub_page,parsed_ingredients
https://www.allrecipes.com/recipe/25030/caramel-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"32 individually wrapped caramels
5 tablespoons heavy cream
1 cup all-purpose flour
1 cup rolled oats
.75 cup brown sugar
.5 teaspoon baking soda
.25 teaspoon salt
.75 cup butter"
https://www.allrecipes.com/recipe/11341/scottish-shortbread-iv/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,2 cups butter
https://www.allrecipes.com/recipe/10595/brownie-biscotti/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".33 cup butter
.67 cup white sugar
2 eggs
1 teaspoon vanilla extract
1.75 cups all-purpose flour
.33 cup unsweetened cocoa powder
2 teaspoons baking powder
.5 cup miniature semisweet chocolate chips
.25 cup chopped walnuts
1 egg yolk"
https://www.allrecipes.com/recipe/11306/chewiest-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup unsweetened cocoa powder
.5 cup melted butter
2 cups white sugar
2 eggs
.25 teaspoon salt
1 cup all-purpose flour"
https://www.allrecipes.com/recipe/10949/pumpkin-cookies-v/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups shortening
2 cups white sugar
2 cups canned pumpkin
2 eggs
2 teaspoons baking soda
1.5 teaspoons ground cinnamon
1 teaspoon salt
4 cups all-purpose flour
6 tablespoons butter
8 tablespoons milk
2 cups confectioners sugar"
https://www.allrecipes.com/recipe/25128/white-chip-chocolate-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
2 cups white sugar
2 eggs
2 teaspoons vanilla extract
2 cups all-purpose flour
.75 cup unsweetened cocoa powder
1 teaspoon baking soda"
https://www.allrecipes.com/recipe/11303/oatmeal-butterscotch-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
.75 cup white sugar
.75 cup packed brown sugar
2 eggs
1 teaspoon vanilla extract
1.25 cups all-purpose flour
1 teaspoon baking soda
.5 teaspoon ground cinnamon
.5 teaspoon salt"
https://www.allrecipes.com/recipe/9516/whipped-shortbread-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1.5 cups all-purpose flour
.5 cup confectioners sugar
.25 cup red maraschino cherries"
https://www.allrecipes.com/recipe/24429/delicious-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup shortening
1.25 cups packed light brown sugar
.75 cup peanut butter
1 egg
3 tablespoons milk
1 tablespoon vanilla extract
1.75 cups all-purpose flour"
https://www.allrecipes.com/recipe/9745/rosenmunnar/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
.5 cup white sugar"
https://www.allrecipes.com/recipe/25010/absolutely-best-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
1 cup white sugar
2 eggs
.5 cup self-rising flour
.33 cup unsweetened cocoa powder
.25 teaspoon salt"
https://www.allrecipes.com/recipe/9889/seven-layer-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup unsalted butter
1.5 cups graham cracker crumbs
1 cup semisweet chocolate chips
1 cup butterscotch chips
1 cup chopped walnuts"
https://www.allrecipes.com/recipe/11201/banana-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2.5 cups all-purpose flour
2 teaspoons baking powder
.5 teaspoon salt
.25 teaspoon baking soda
1 cup white sugar
.67 cup butter
2 eggs
1 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/10555/magic-cookie-bars-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup margarine
1.5 cups graham cracker crumbs
1 cup chopped walnuts
.75 cup semisweet chocolate chips
.75 cup butterscotch chips"
https://www.allrecipes.com/recipe/13564/pecan-pie-bars-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"3 cups all-purpose flour
.5 cup white sugar
.5 teaspoon salt
1 cup margarine
4 eggs
1.5 cups light corn syrup
1.5 cups white sugar
3 tablespoons margarine"
https://www.allrecipes.com/recipe/16773/gooey-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (8 ounce) package cream cheese
.5 cup butter
1 egg
.25 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/46395/applesauce-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".25 cup butter or margarine
.67 cup brown sugar
1 egg
1 cup applesauce
1 cup all-purpose flour
1 teaspoon baking soda
.5 teaspoon salt
1 teaspoon pumpkin pie spice
1.5 cups confectioners sugar
3 tablespoons margarine"
https://www.allrecipes.com/recipe/19205/chococonut-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup white sugar
.5 cup light brown sugar
2 eggs
1 teaspoon vanilla extract
2.25 cups all-purpose flour
1 teaspoon baking soda
1 teaspoon salt"
https://www.allrecipes.com/recipe/10665/peanut-butter-cookies-iv/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.25 cups sifted all-purpose flour
.75 teaspoon baking soda
.25 teaspoon salt
.5 cup butter
.5 cup peanut butter
.5 cup white sugar
.5 cup packed brown sugar
1 egg"
https://www.allrecipes.com/recipe/11423/fudge-puddles/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
.5 cup creamy peanut butter
.5 cup white sugar
.5 cup packed brown sugar
1 egg
.5 teaspoon vanilla extract
1.25 cups all-purpose flour
.75 teaspoon baking soda
.5 teaspoon salt
1 cup milk chocolate chips
1 cup semi-sweet chocolate chips
1 (14 ounce) can sweetened condensed milk"
https://www.allrecipes.com/recipe/10245/oatmeal-chocolate-coconut-chewy/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1.25 cups packed brown sugar
.5 cup white sugar
2 eggs
2 tablespoons milk
2 teaspoons vanilla extract
1.75 cups all-purpose flour
1 teaspoon baking soda
.5 teaspoon salt (optional)
3 cups rolled oats
2 cups semisweet chocolate chips"
https://www.allrecipes.com/recipe/9883/snickerdoodles-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup shortening
1.5 cups white sugar
2 eggs
2.75 cups sifted all-purpose flour
1 teaspoon baking soda
2 teaspoons cream of tartar
.25 teaspoon salt"
https://www.allrecipes.com/recipe/15892/banana-oatmeal-cookie/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups sifted all-purpose flour
.5 teaspoon baking soda
1 teaspoon salt
.25 teaspoon ground nutmeg
.75 teaspoon ground cinnamon
.75 cup shortening
1 cup white sugar
1 egg
1 cup mashed bananas"
https://www.allrecipes.com/recipe/25052/favorite-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.25 cups creamy peanut butter
1 cup margarine
.75 cup white sugar
.75 cup packed light brown sugar
2 eggs
.5 teaspoon vanilla extract
2.25 cups all-purpose flour"
https://www.allrecipes.com/recipe/10211/chocolate-rum-balls-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"3.25 cups crushed vanilla wafers
.75 cup confectioners sugar
.25 cup unsweetened cocoa powder
1.5 cups chopped walnuts"
https://www.allrecipes.com/recipe/25065/delilahs-frosted-cut-out-sugar-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter flavored shortening
1 cup white sugar
2 eggs
1 tablespoon milk
1 teaspoon vanilla extract
2.5 cups all-purpose flour
1 teaspoon baking powder
1 teaspoon salt
1 tablespoon butter
1 teaspoon vanilla extract
2.5 cups confectioners sugar"
https://www.allrecipes.com/recipe/11171/snowballs-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
.5 cup confectioners sugar
.25 teaspoon salt
1 teaspoon vanilla extract
2.25 cups all-purpose flour
1 cup chopped pecans
.33 cup confectioners sugar for dusting"
https://www.allrecipes.com/recipe/10628/oatmeal-chocolate-chip-cookies-iii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
.75 cup packed brown sugar
.25 cup white sugar
1 teaspoon vanilla extract
1.5 cups all-purpose flour
.5 teaspoon salt
1 teaspoon baking soda
.25 cup boiling water
2 cups quick cooking oats"
https://www.allrecipes.com/recipe/10684/monster-cookies-vi/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"3 eggs
1.5 cups packed brown sugar
1 cup white sugar
1 teaspoon vanilla extract
1 teaspoon corn syrup
2 teaspoons baking soda
.5 cup butter
1.5 cups peanut butter
4.5 cups rolled oats"
https://www.allrecipes.com/recipe/78528/golden-yam-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup packed brown sugar
1 cup white sugar
4 eggs
2 teaspoons vanilla extract
1.5 cups all-purpose flour
1 teaspoon baking powder
.5 teaspoon salt
2 cups peeled and finely shredded yam
1 cup confectioners sugar"
https://www.allrecipes.com/recipe/10716/soft-and-chewy-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups all-purpose flour
.5 teaspoon baking soda
.25 teaspoon salt
1.25 cups packed brown sugar
1.25 cups white sugar
1 cup butter
3 eggs"
