0,1,2
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/10602/no-bake-chocolate-oat-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/10757/moms-ginger-snaps/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/10365/grandmas-gingersnap-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/17241/biscotti/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/11620/oatmeal-raisin-cookies-iv/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/11116/cream-cheese-sugar-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/10269/shortbread-cookies-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/10477/chocolate-mint-cookies-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/9311/molasses-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/9329/gingerbread-men/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,NO_URL
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/10025/white-chocolate-macadamia-nut-cookies-iii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/9959/marshmallow-treats/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/10711/soft-chocolate-chip-cookies-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/232799/chef-johns-lemon-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/9806/peanut-butter-kiss-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/9910/one-bowl-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/11504/chewy-peanut-butter-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/25059/frosted-banana-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,NO_URL
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/11624/snickerdoodles-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/15347/caramel-shortbread-squares/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/15171/buckeye-balls-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/23337/cake-mix-cookies-viii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/161701/black-bean-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/10926/cake-mix-cookies-iv/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/11520/the-whole-jar-of-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/10642/caramel-filled-chocolate-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/10337/beths-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/146819/spooky-witches-fingers/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/63959/magic-cookie-bars-from-eagle-brand/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/10462/blueberry-crumb-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,NO_URL
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/16212/chocolate-mint-candies-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=5,page 5 of 259,https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
